tsne1,tsne2,cluster,cluster_name,track_name,artist,release_year,popularity,danceability,energy,valence,acousticness,loudness
3.270301,3.1889358,1,Acoustic and Mellow,Holiday,['Madonna'],1983,61,0.813,0.699,0.732,0.025,-8.656
3.2716844,3.1891654,1,Acoustic and Mellow,Holiday,['Madonna'],1983,60,0.813,0.699,0.732,0.025,-8.656
-4.7272906,9.158606,1,Acoustic and Mellow,Lucky Star,['Madonna'],1983,55,0.793,0.627,0.963,0.266,-10.599
-3.855273,-0.80625373,1,Acoustic and Mellow,Borderline,['Madonna'],1983,46,0.787,0.526,0.612,0.026,-12.692
10.016577,-1.4871143,3,Smooth and Sophisticated,Borderline,['Madonna'],1983,45,0.787,0.895,0.452,0.252,-4.864
8.057142,13.823809,3,Smooth and Sophisticated,Burning Up,['Madonna'],1983,43,0.869,0.738,0.988,0.028,-4.566
6.192277,12.314941,3,Smooth and Sophisticated,Lucky Star,['Madonna'],1983,43,0.803,0.814,0.933,0.198,-4.579
10.470135,13.094896,3,Smooth and Sophisticated,Everybody - Original Version,['Madonna'],1983,39,0.921,0.782,0.616,0.02,-4.998
-4.210453,9.511101,1,Acoustic and Mellow,Like a Virgin,['Madonna'],1984,73,0.771,0.655,0.97,0.152,-10.842
-5.5289745,8.4107,1,Acoustic and Mellow,Material Girl,['Madonna'],1984,57,0.775,0.616,0.98,0.246,-12.676
-5.733041,7.3103013,1,Acoustic and Mellow,Angel,['Madonna'],1984,48,0.754,0.618,0.836,0.298,-13.66
-0.94694424,4.8060074,1,Acoustic and Mellow,Dress You Up,['Madonna'],1984,47,0.654,0.646,0.863,0.032,-10.056
-2.807058,7.263106,1,Acoustic and Mellow,Over and Over,['Madonna'],1984,41,0.669,0.785,0.971,0.415,-10.883
-10.52747,-9.9201145,2,Bold and Uplifting,Love Don't Live Here Anymore,['Madonna'],1984,40,0.483,0.366,0.356,0.327,-14.394
-7.358045,9.739092,1,Acoustic and Mellow,Like a Virgin - Extended Dance Remix,['Madonna'],1984,40,0.839,0.458,0.972,0.022,-13.606
-4.4822974,7.9403615,1,Acoustic and Mellow,La Isla Bonita,['Madonna'],1986,72,0.725,0.612,0.965,0.302,-10.706
-0.34392828,11.028167,3,Smooth and Sophisticated,Papa Don't Preach,['Madonna'],1986,66,0.807,0.906,0.971,0.311,-8.973
-2.3495169,10.303198,1,Acoustic and Mellow,True Blue,['Madonna'],1986,60,0.799,0.773,0.896,0.261,-10.035
-10.457498,-11.498614,2,Bold and Uplifting,Live to Tell,['Madonna'],1986,59,0.673,0.314,0.27,0.411,-14.156
3.2539806,6.713718,3,Smooth and Sophisticated,Open Your Heart,['Madonna'],1986,52,0.619,0.876,0.89,0.043,-9.214
2.7153747,9.6163845,3,Smooth and Sophisticated,La Isla Bonita - Extended Remix,"['Madonna', 'Chris Lord-Alge']",1986,50,0.73,0.737,0.89,0.202,-6.515
0.026352711,10.132431,1,Acoustic and Mellow,Where's the Party,['Madonna'],1986,42,0.752,0.829,0.906,0.33,-8.658
-4.203684,-0.5985209,1,Acoustic and Mellow,True Blue - The Color Mix,['Madonna'],1986,40,0.807,0.525,0.616,0.038,-13.366
-4.0096946,4.837464,1,Acoustic and Mellow,Who's That Girl,['Madonna'],1987,55,0.625,0.646,0.826,0.214,-13.592
-2.624952,9.492656,1,Acoustic and Mellow,Causing a Commotion,['Madonna'],1987,47,0.771,0.749,0.854,0.216,-10.628
-6.56899,-7.8662,0,Energetic and Danceable,Like a Prayer,['Madonna'],1989,66,0.66,0.629,0.324,0.432,-12.359
-0.89106673,9.827904,1,Acoustic and Mellow,Express Yourself,['Madonna'],1989,50,0.747,0.866,0.946,0.356,-10.529
-3.8982842,7.2387166,1,Acoustic and Mellow,Cherish,['Madonna'],1989,50,0.703,0.685,0.963,0.323,-11.581
-8.858205,-13.742698,2,Bold and Uplifting,Dear Jessie,['Madonna'],1989,45,0.702,0.26,0.897,0.755,-16.885
-10.130959,-12.251617,2,Bold and Uplifting,Pray for Spanish Eyes,['Madonna'],1989,44,0.703,0.319,0.483,0.36,-12.911
-11.207298,-10.520408,2,Bold and Uplifting,Oh Father,['Madonna'],1989,43,0.576,0.268,0.175,0.547,-14.313
