name,release_year,popularity,danceability,energy,valence
Material Girl,2009,74,0.742,0.883,0.978
4 Minutes (feat. Justin Timberlake & Timbaland),2009,71,0.753,0.931,0.767
Papa Don't Preach,1986,66,0.807,0.906,0.971
La Isla Bonita,2009,66,0.708,0.832,0.968
Into the Groove,2009,64,0.729,0.856,0.804
Holiday,2009,63,0.854,0.796,0.946
Me Against the Music (feat. Madonna) - LP Version / Video Mix,2003,62,0.804,0.836,0.85
Music,2000,60,0.736,0.802,0.871
Give It 2 Me,2008,59,0.837,0.954,0.972
Express Yourself,2009,58,0.667,0.93,0.893
