id,name,artists,cluster
3ibAzRj9JnowdoLkyllk3n,Holiday,['Madonna'],1
7arHM2KZ0KzIZXFVDRGClI,Holiday,['Madonna'],1
2hWI9GNr3kBrxZ7Mphho4Q,Lucky Star,['Madonna'],1
4SuabhTNPBTBFjfOjhvRNQ,Borderline,['Madonna'],1
2vtIfsm5Qz21bqsHyARoLp,Borderline,['Madonna'],3
48YZhmKL3aZKhQUfpvkelu,Burning Up,['Madonna'],3
5I0WMWBGRuHiAwNa6yjm9r,Lucky Star,['Madonna'],3
4sFGkok98Cu0gu52fD48Xr,Everybody - Original Version,['Madonna'],3
1ZPlNanZsJSPK5h9YZZFbZ,Like a Virgin,['Madonna'],1
7bkyXSi4GtVfD7itZRUR3e,Material Girl,['Madonna'],1
7ov1nZ2QZc3LIuCXXERZP0,Angel,['Madonna'],1
1Fhx9C87IjEAtWI9FF0IzF,Dress You Up,['Madonna'],1
0uIqV0X1M1vjti0ubMOInt,Over and Over,['Madonna'],1
1S14j6I0RrdQoxrm7zZNHL,Love Don't Live Here Anymore,['Madonna'],2
17WvhmXF06yquUwZjtjHsc,Like a Virgin - Extended Dance Remix,['Madonna'],1
6r8k1vznHrzlEKYxL4dZEe,La Isla Bonita,['Madonna'],1
6A8OnjnpShshNpcqWtZRjr,Papa Don't Preach,['Madonna'],3
7azOuDeJGbxt5mvq3GQHXp,True Blue,['Madonna'],1
095MMFhB9qxPx2VsmvjnUs,Live to Tell,['Madonna'],2
6poribUG9PSY1eudyCjJTS,Open Your Heart,['Madonna'],3
1jaVdF0FSPTWi8E4MWiLPR,La Isla Bonita - Extended Remix,"['Madonna', 'Chris Lord-Alge']",3
3SL3D72fBngP6GqouoUQOq,Where's the Party,['Madonna'],1
1ev64zBlpSWh5HQwvEhLjZ,True Blue - The Color Mix,['Madonna'],1
3G0NNqwQ1sqRpySr6soHlH,Who's That Girl,['Madonna'],1
3sX3c6QUPSAiKf77RZRf5B,Causing a Commotion,['Madonna'],1
2v7ywbUzCgcVohHaKUcacV,Like a Prayer,['Madonna'],0
3szW87j0gVLQmpulz4P8Rf,Express Yourself,['Madonna'],1
5OKScc0MSa9Wl8g2zrulLn,Cherish,['Madonna'],1
1ZLgeJ8aUm1nJcddza8dVG,Dear Jessie,['Madonna'],2
5Fg8RLBDD809CkfXShJG73,Pray for Spanish Eyes,['Madonna'],2
5vk7txLRuAjNatZD8OCrf4,Oh Father,['Madonna'],2
7j5TIXPi0cCbSSqItmbyZy,Vogue,['Madonna'],0
6G7PVlifniapyhDCmWS2VM,Crazy for You - Edit,['Madonna'],1
5npMYgysWSKOIVXj2szeLn,Vogue - Edit,['Madonna'],0
5CxiVaZ6VzP8XVJ8vcBY40,Into the Groove - Edit,['Madonna'],1
4cUSgvW6wlxqzzxE3P4voV,Holiday,['Madonna'],1
22VWmcVQrYqHT4exHD6mMF,Like a Virgin,['Madonna'],1
4osrEm2iY3QcTUcQuFUtfW,Live to Tell,['Madonna'],0
0e1VL3FZmkgjKQ7wNmIHNc,Material Girl,['Madonna'],3
14p4jbULrRxZvnSt4NDSEs,Like a Prayer,['Madonna'],0
6NBGabiAuQklrfkufcOqlN,Justify My Love,['Madonna'],0
0WeATn9QzAPOyR53O3VDTJ,Borderline - Remix,['Madonna'],1
5g7xZ7eoCpNt4Zm2UbE2U5,La Isla Bonita - Remix,"['Madonna', 'Chris Lord-Alge']",1
09rZ7xC4mioI3HQBpyxpi3,Express Yourself,['Madonna'],0
7u4YYDqgqEu7etjfwWy3u8,Papa Don't Preach,['Madonna'],1
1AMZVcZvuPKqxm822W8PGV,Open Your Heart,['Madonna'],1
5oqukcHWfqq7HGjyKwLX1y,Take a Bow,['Madonna'],2
15FcP9qwmIKqaD5NhfhNpu,Secret,['Madonna'],0
4Cna7QxOOTNnylVHLtShCi,Human Nature,['Madonna'],0
00U0pedRUMEzREpyRqbVT6,I'll Remember (Theme from the Motion Picture With Honors),['Madonna'],1
0Fb8sdyNluLawg08N1zs48,You'll See,['Madonna'],2
637V2ymBt4Ljlbz4EmRys8,This Used to Be My Playground,['Madonna'],2
6iABG3ruJ1ArrulilbVhai,Crazy for You,['Madonna'],0
0bLRXQaWzmSXRXPmP6JnEF,Don't Cry for Me Argentina,['Madonna'],2
3afv9TL8ixr4T9VbiKnrwe,American Pie,['Madonna'],0
2fzykVsO2Di5jnofUNX3YE,Music,['Madonna'],3
23EhTCPRTlLVM6VQUyh8bH,Don't Tell Me,['Madonna'],0
7mS8RbJji2UZAaguRGsOCH,Me Against the Music (feat. Madonna) - LP Version / Video Mix,"['Britney Spears', 'Madonna']",3
3850dYVgOFIXJh5U4BFEWH,Hung Up,['Madonna'],0
55whbebR4olz2HHcRQa2kx,Sorry,['Madonna'],0
5hmRhU6fWzH0NjYmfhHjhp,Jump,['Madonna'],0
59qPP8coY8EWIQ9nQDThui,Give It 2 Me,['Madonna'],3
22sLuJYcvZOSoLLRYev1s5,Material Girl,['Madonna'],3
1z3ugFmUKoCzGsI6jdY4Ci,Like a Prayer,['Madonna'],0
1oHClQEgDmmbcEx12Kc5nZ,4 Minutes (feat. Justin Timberlake & Timbaland),"['Madonna', 'Justin Timberlake', 'Timbaland']",3
27QvYgBk0CHOVHthWnkuWt,Vogue,['Madonna'],0
2Iib2MV3ECFJAourgP9dlY,La Isla Bonita,['Madonna'],3
6B4oVElDIKRNcNUary0WG7,Crazy for You,['Madonna'],0
2m0M7YqCy4lXfedh18qd8N,Into the Groove,['Madonna'],3
4k6ktr10Hczmh55NY3LfJy,Holiday,['Madonna'],3
70VjMtwhm3Q2HBQeJnPfmh,Hung Up,['Madonna'],0
6ioBgySxoeQKALvAeLEmId,Express Yourself,['Madonna'],3
4vle25yO4Rf7AYkWtzSfAS,Material Girl - Extended Dance Remix,['Madonna'],1
6Ei6QAnG87QHLRe0Nqgqy2,Into the Groove,"['Madonna', 'Shep Pettibone']",1
1mHnxub5pXrAXQUCpyRoAp,"Vogue - 12"" Version",['Madonna'],1
3b3PnE1ROIZzILjmCGjVib,Rain,['Madonna'],0
7ENlXau6NFNVaWU0hP7lbx,Where Life Begins,['Madonna'],1
78JPL7uIfs6Imm57r1QETk,You Must Love Me,['Madonna'],2
2II03llydk4YnkBBvoYB3B,Frozen,['Madonna'],2
01VFDkHBNJcCNUjzD3flWg,The Power of Good-Bye,['Madonna'],0
4Fpsa3pYc3gozrxHRRPvR6,Ray of Light,['Madonna'],0
6bZPQHvekmIFBZZB7nMB5X,Nothing Really Matters,['Madonna'],0
7izFzcBTx3DVXFeFYDeZKB,Take a Bow,['Madonna'],2
6KU8g98m1tcrUXRNjPQeOI,Deeper and Deeper,['Madonna'],0
3s6UF8KC2k4nFwRConFYfJ,Physical Attraction,['Madonna'],1
4FMNpPI7mkhdeFCCk6fZiE,Borderline,['Madonna'],3
4eMLyB1mc7onYLdoG8YSXG,Erotica,['Madonna'],0
0beXeFEWUYYY13fYVHTtFk,Drowned World / Substitute for Love,['Madonna'],2
3ZfMci7n6qk9nRodX8BfIb,Girl Gone Wild,['Madonna'],0
0NjXS4VFF7OVLRhSAXMUJV,Burning Up,['Madonna'],3
4QGVOJqm5WOt7XhGlFLqnj,Physical Attraction,['Madonna'],3
19gLqMCui3hxPDTKTEoELa,Stay,['Madonna'],1
3Jmc8fYHFMwpIiT7pg7ggt,White Heat,['Madonna'],1
687mfVfetXFntD7DJpBT3N,Jimmy Jimmy,['Madonna'],1
5TqUghz3FRLeWKkwOVaumY,Love Makes the World Go Round,['Madonna'],1
0xbjaqanyL1Us6g8kVKE3h,Till Death Do Us Part,['Madonna'],1
0TtjIsd6WB3hzFu0ra8g8p,Hanky Panky,['Madonna'],0
7DUpuAzGUyJaJB3p9BC3Ms,Die Another Day,['Madonna'],3
1Lg9aMPCykp6LybqcVCXiO,Hung Up - Radio Version,['Madonna'],0
0YT8MKXuaRdhOnDG9Jm1Dv,Frozen,['Madonna'],0
5HktkLHDbjA6LTyRTBEzHy,Celebration,['Madonna'],3
6WjrgHvISFS0Oj3vk3XLiE,Cherish,['Madonna'],1
18hiT7VEeP2XJrVWizpDMk,Erotica,['Madonna'],0
