id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_year,cluster,hdbscan_cluster
3ibAzRj9JnowdoLkyllk3n,Holiday,61,231560,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1983-07-27,0.813,0.699,7,-8.656,1,0.0458,0.0251,0.0135,0.0527,0.732,117.548,4,1983,1,-1
7arHM2KZ0KzIZXFVDRGClI,Holiday,60,231560,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1983-07-27,0.813,0.699,7,-8.656,1,0.0458,0.0251,0.0135,0.0527,0.732,117.548,4,1983,1,-1
2hWI9GNr3kBrxZ7Mphho4Q,Lucky Star,55,333773,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1983-07-27,0.793,0.627,4,-10.599,0,0.0431,0.266,7.1e-05,0.145,0.963,117.203,4,1983,1,7
4SuabhTNPBTBFjfOjhvRNQ,Borderline,46,417040,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1983-07-27,0.787,0.526,9,-12.692,1,0.0424,0.0259,0.000833,0.0469,0.612,118.979,4,1983,1,-1
2vtIfsm5Qz21bqsHyARoLp,Borderline,45,320893,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1983-07-27,0.787,0.895,7,-4.864,1,0.0368,0.252,0.00064,0.0729,0.452,119.356,4,1983,3,-1
48YZhmKL3aZKhQUfpvkelu,Burning Up,43,225333,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1983-07-27,0.869,0.738,6,-4.566,0,0.11,0.0276,0.00102,0.262,0.988,138.329,4,1983,3,3
5I0WMWBGRuHiAwNa6yjm9r,Lucky Star,43,337840,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1983-07-27,0.803,0.814,4,-4.579,0,0.0381,0.198,1.18e-05,0.223,0.933,117.08,4,1983,3,3
4sFGkok98Cu0gu52fD48Xr,Everybody - Original Version,39,362387,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1983-07-27,0.921,0.782,9,-4.998,0,0.039,0.0205,0.000894,0.0437,0.616,119.982,4,1983,3,-1
1ZPlNanZsJSPK5h9YZZFbZ,Like a Virgin,73,218627,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1984-11-12,0.771,0.655,3,-10.842,0,0.0372,0.152,0.00197,0.0685,0.97,119.747,4,1984,1,7
7bkyXSi4GtVfD7itZRUR3e,Material Girl,57,240707,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1984-11-12,0.775,0.616,0,-12.676,1,0.0317,0.246,6.77e-06,0.0511,0.98,136.63,4,1984,1,7
7ov1nZ2QZc3LIuCXXERZP0,Angel,48,236133,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1984-11-12,0.754,0.618,7,-13.66,1,0.0357,0.298,0.000207,0.345,0.836,133.237,4,1984,1,-1
1Fhx9C87IjEAtWI9FF0IzF,Dress You Up,47,241600,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1984-11-12,0.654,0.646,0,-10.056,0,0.0294,0.0324,0.0414,0.0965,0.863,136.194,4,1984,1,7
0uIqV0X1M1vjti0ubMOInt,Over and Over,41,252507,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1984-11-12,0.669,0.785,5,-10.883,1,0.0351,0.415,0.00288,0.0537,0.971,150.247,4,1984,1,-1
1S14j6I0RrdQoxrm7zZNHL,Love Don't Live Here Anymore,40,290227,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1984-11-12,0.483,0.366,7,-14.394,0,0.0452,0.327,3.78e-05,0.325,0.356,140.358,4,1984,2,-1
17WvhmXF06yquUwZjtjHsc,Like a Virgin - Extended Dance Remix,40,369600,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1984-11-12,0.839,0.458,3,-13.606,0,0.0555,0.0223,0.00357,0.13,0.972,119.447,4,1984,1,-1
6r8k1vznHrzlEKYxL4dZEe,La Isla Bonita,72,242320,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1986-06-30,0.725,0.612,1,-10.706,0,0.0372,0.302,1.63e-05,0.0548,0.965,99.978,4,1986,1,7
6A8OnjnpShshNpcqWtZRjr,Papa Don't Preach,66,345280,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1986-06-30,0.807,0.906,5,-8.973,0,0.0371,0.311,0.000791,0.0248,0.971,121.54,4,1986,3,-1
7azOuDeJGbxt5mvq3GQHXp,True Blue,60,258227,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1986-06-30,0.799,0.773,11,-10.035,1,0.0393,0.261,2.58e-06,0.044,0.896,118.045,4,1986,1,7
095MMFhB9qxPx2VsmvjnUs,Live to Tell,59,353000,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1986-06-30,0.673,0.314,2,-14.156,0,0.0279,0.411,0.0334,0.107,0.27,109.841,4,1986,2,0
6poribUG9PSY1eudyCjJTS,Open Your Heart,52,253067,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1986-06-30,0.619,0.876,7,-9.214,0,0.0417,0.0434,1.53e-05,0.0925,0.89,114.008,4,1986,3,-1
1jaVdF0FSPTWi8E4MWiLPR,La Isla Bonita - Extended Remix,50,326773,0,"['Madonna', 'Chris Lord-Alge']","['6tbjWDEIzxoDsBA1FuhfPW', '1zRwW2z5JOtEgK5OESwlgx']",1986-06-30,0.73,0.737,4,-6.515,1,0.0333,0.202,5.83e-05,0.153,0.89,99.998,4,1986,3,-1
3SL3D72fBngP6GqouoUQOq,Where's the Party,42,260693,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1986-06-30,0.752,0.829,5,-8.658,1,0.0494,0.33,0.0,0.625,0.906,118.955,4,1986,1,7
1ev64zBlpSWh5HQwvEhLjZ,True Blue - The Color Mix,40,400133,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1986-06-30,0.807,0.525,4,-13.366,1,0.086,0.0384,0.0625,0.0581,0.616,119.91,4,1986,1,-1
3G0NNqwQ1sqRpySr6soHlH,Who's That Girl,55,239173,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1987-07-21,0.625,0.646,9,-13.592,0,0.0389,0.214,0.0533,0.0525,0.826,103.893,4,1987,1,-1
3sX3c6QUPSAiKf77RZRf5B,Causing a Commotion,47,261667,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1987-07-21,0.771,0.749,5,-10.628,0,0.0401,0.216,0.00184,0.135,0.854,119.875,4,1987,1,7
2v7ywbUzCgcVohHaKUcacV,Like a Prayer,66,340867,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1989-03-21,0.66,0.629,5,-12.359,1,0.0387,0.432,7.3e-05,0.172,0.324,111.926,4,1989,0,1
3szW87j0gVLQmpulz4P8Rf,Express Yourself,50,279133,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1989-03-21,0.747,0.866,0,-10.529,1,0.0289,0.356,2.81e-05,0.0915,0.946,115.492,4,1989,1,7
5OKScc0MSa9Wl8g2zrulLn,Cherish,50,303493,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1989-03-21,0.703,0.685,2,-11.581,1,0.033,0.323,0.000567,0.0537,0.963,131.842,4,1989,1,7
1ZLgeJ8aUm1nJcddza8dVG,Dear Jessie,45,261507,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1989-03-21,0.702,0.26,2,-16.885,1,0.0449,0.755,0.0,0.304,0.897,126.838,4,1989,2,-1
5Fg8RLBDD809CkfXShJG73,Pray for Spanish Eyes,44,317707,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1989-03-21,0.703,0.319,9,-12.911,0,0.0272,0.36,0.0,0.0958,0.483,108.519,4,1989,2,0
5vk7txLRuAjNatZD8OCrf4,Oh Father,43,298760,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1989-03-21,0.576,0.268,0,-14.313,1,0.0294,0.547,5.17e-05,0.118,0.175,115.952,3,1989,2,0
7j5TIXPi0cCbSSqItmbyZy,Vogue,62,317080,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-11-09,0.748,0.84,6,-7.701,1,0.0421,0.00348,0.00647,0.44,0.304,115.997,4,1990,0,8
6G7PVlifniapyhDCmWS2VM,Crazy for You - Edit,59,225627,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-11-09,0.672,0.549,9,-11.93,1,0.029,0.168,0.0,0.102,0.588,95.01,4,1990,1,-1
5npMYgysWSKOIVXj2szeLn,Vogue - Edit,54,289560,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-03-22,0.69,0.817,10,-10.137,0,0.0478,0.0109,0.00276,0.103,0.285,116.211,4,1990,0,-1
5CxiVaZ6VzP8XVJ8vcBY40,Into the Groove - Edit,51,249800,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-11-09,0.686,0.714,5,-9.533,0,0.0385,0.0237,0.0012,0.066,0.706,116.6,4,1990,1,7
4cUSgvW6wlxqzzxE3P4voV,Holiday,48,245773,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-11-09,0.816,0.65,11,-9.576,0,0.0497,0.0145,0.0105,0.103,0.723,117.551,4,1990,1,-1
